model,intercept,slope,log_lik
622,-2.94,0.018000000000000002,-337.29252233085043
623,-2.94,0.02,-329.02730444049524
624,-2.94,0.022,-320.7870644353016
625,-2.94,0.024,-312.5738404822643
626,-2.94,0.026000000000000002,-304.3898425095206
627,-2.94,0.028,-296.23746711386514
628,-2.94,0.03,-288.1193137966691
629,-2.94,0.032,-280.03820264936104
630,-2.94,0.034,-271.9971936209036
631,-2.94,0.036000000000000004,-263.9996075120472
632,-2.94,0.038,-256.0490488546591
633,-2.94,0.04,-248.14943084922675
634,-2.94,0.042,-240.3050025498462
635,-2.94,0.044,-232.52037850375845
636,-2.94,0.046,-224.80057107194577
637,-2.94,0.048,-217.15102567860416
638,-2.94,0.05,-209.57765926065161
639,-2.94,0.052000000000000005,-202.08690221400948
640,-2.94,0.054,-194.68574416142454
641,-2.94,0.056,-187.38178389732158
642,-2.94,0.058,-180.18328389885087
643,-2.94,0.06,-173.09922982920986
644,-2.94,0.062,-166.13939549979173
645,-2.94,0.064,-159.31441380209225
646,-2.94,0.066,-152.63585416896868
647,-2.94,0.068,-146.11630717821726
648,-2.94,0.07,-139.76947696997473
649,-2.94,0.07200000000000001,-133.61028221366126
650,-2.94,0.074,-127.6549664306306
651,-2.94,0.076,-121.92121855598313
652,-2.94,0.078,-116.42830470780879
653,-2.94,0.08,-111.19721222519607
654,-2.94,0.082,-106.25080713848944
655,-2.94,0.084,-101.6140063473925
656,-2.94,0.08600000000000001,-97.31396590558579
657,-2.94,0.088,-93.38028694564
658,-2.94,0.09,-89.8452409263495
659,-2.94,0.092,-86.74401604749941
660,-2.94,0.094,-84.11498685595403
661,-2.94,0.096,-82.00000926340608
662,-2.94,0.098,-80.44474341189832
663,-2.94,0.1,-79.49900706024714
664,-2.935,0,-411.99722359228275
665,-2.935,0.002,-403.57736279060634
666,-2.935,0.004,-395.16999794347765
667,-2.935,0.006,-386.77612610661714
668,-2.935,0.008,-378.39682658878297
669,-2.935,0.01,-370.0332679512716
670,-2.935,0.012,-361.6867156200715
671,-2.935,0.014,-353.3585401656569
672,-2.935,0.016,-345.05022631045574
673,-2.935,0.018000000000000002,-336.76338272953865
674,-2.935,0.02,-328.49975271611595
675,-2.935,0.022,-320.26122579002515
676,-2.935,0.024,-312.04985033461577
677,-2.935,0.026000000000000002,-303.86784735533575
678,-2.935,0.028,-295.71762546197124
679,-2.935,0.03,-287.6017971859484
680,-2.935,0.032,-279.5231967544627
681,-2.935,0.034,-271.4848994545348
682,-2.935,0.036000000000000004,-263.4902427324983
683,-2.935,0.038,-255.54284918801153
