model,intercept,slope,log_lik
547,-1.875,-0.08999999999999997,-151.5373944006564
548,-1.875,-0.08000000000000002,-148.80312538922527
549,-1.875,-0.07,-146.16235515509695
550,-1.875,-0.06,-143.62766070431363
551,-1.875,-0.04999999999999999,-141.2132757901725
552,-1.875,-0.03999999999999998,-138.93524638916784
553,-1.875,-0.02999999999999997,-136.81157200625336
554,-1.875,-0.020000000000000018,-134.86231888726056
555,-1.875,-0.010000000000000009,-133.10968708804873
556,-1.875,0,-131.57800921689622
557,-1.875,0.010000000000000009,-130.29365524383687
558,-1.875,0.020000000000000018,-129.28481612397923
559,-1.875,0.030000000000000027,-128.58114049314142
560,-1.875,0.040000000000000036,-128.21320487883193
561,-1.875,0.050000000000000044,-128.21180999076782
562,-1.875,0.06000000000000005,-128.6071141330467
563,-1.875,0.07000000000000006,-129.42763851128606
564,-1.875,0.07999999999999996,-130.69920505949815
565,-1.875,0.08999999999999997,-132.44389026639666
566,-1.875,0.09999999999999998,-134.67909215620696
567,-1.875,0.10999999999999999,-137.41680661999018
568,-1.875,0.12,-140.66319113524477
569,-1.875,0.13,-144.41846046202502
570,-1.875,0.14,-148.67711660739317
571,-1.875,0.15000000000000002,-153.42847341265997
572,-1.875,0.16000000000000003,-158.65740352781884
573,-1.875,0.17000000000000004,-164.34521819927704
574,-1.875,0.18000000000000005,-170.4705895271035
575,-1.875,0.19000000000000006,-177.0104377119924
576,-1.875,0.20000000000000007,-183.94072684489265
577,-1.875,0.20999999999999996,-191.237136124248
578,-1.875,0.21999999999999997,-198.87559438378116
579,-1.875,0.22999999999999998,-206.8326818216028
580,-1.875,0.24,-215.08591307960202
581,-1.875,0.25,-223.61392091248422
582,-1.875,0.26,-232.39656086579947
583,-1.875,0.27,-241.414956044487
584,-1.875,0.28,-250.6514983979611
585,-1.875,0.29000000000000004,-260.08981984868905
586,-1.875,0.30000000000000004,-269.7147435944089
587,-1.875,0.31000000000000005,-279.51222330107373
588,-1.875,0.32000000000000006,-289.46927577364886
589,-1.875,0.33000000000000007,-299.5739110361958
590,-1.875,0.33999999999999997,-309.81506250937383
591,-1.875,0.35,-320.1825190632324
592,-1.875,0.36,-330.66686006904837
593,-1.875,0.37,-341.259394110408
594,-1.875,0.38,-351.9521016891137
595,-1.875,0.39,-362.73758203690255
596,-1.875,0.4,-373.6090039913365
597,-1.875,0.41000000000000003,-384.56006079310885
598,-1.875,0.42000000000000004,-395.58492859832006
599,-1.875,0.43000000000000005,-406.678228462381
600,-1.875,0.44000000000000006,-417.8349915348279
601,-1.875,0.45000000000000007,-429.0506272006944
602,-1.875,0.45999999999999996,-440.3208939101766
603,-1.875,0.47,-451.6418724507654
604,-1.875,0.48,-463.00994143250415
605,-1.875,0.49,-474.42175477571766
606,-1.875,0.5,-485.8742210097246
607,-1.85,-0.5,-286.68072074103713
608,-1.85,-0.49,-283.196587364853
609,-1.85,-0.48,-279.71437341667274
610,-1.85,-0.47,-276.2341978704285
611,-1.85,-0.46,-272.7561906041156
612,-1.85,-0.45,-269.2804935902193
613,-1.85,-0.44,-265.80726223153187
614,-1.85,-0.43,-262.336666862005
615,-1.85,-0.42,-258.8688944351902
616,-1.85,-0.41000000000000003,-255.40415042618653
